team,episode_id,turn,day,hour,money,actor,action,arg1,arg2
HealthStone,91035389,0,0,0,3000.0,farmer,PASS,,
HealthStone,91035389,1,0,1,146.0,farmer,BUILD_PASTURE,,
HealthStone,91035389,1,0,1,146.0,market,HIRE,,
HealthStone,91035389,1,0,1,146.0,market,HIRE,,
HealthStone,91035389,1,0,1,146.0,market,HIRE,,
HealthStone,91035389,1,0,1,146.0,market,BUY_ANIMAL,SHEEP,4
HealthStone,91035389,1,0,1,146.0,market,BUY_ANIMAL,COW,1
HealthStone,91035389,1,0,1,146.0,market,BUY_SEED,MELON,5
HealthStone,91035389,1,0,1,146.0,market,BUY_SEED,WHEAT,5
HealthStone,91035389,2,0,2,126.0,farmer,PICKUP,SHEEP,1
HealthStone,91035389,2,0,2,126.0,hand_0,WEST,,
HealthStone,91035389,2,0,2,126.0,hand_1,NORTH,,
HealthStone,91035389,2,0,2,126.0,hand_2,WEST,,
HealthStone,91035389,2,0,2,126.0,market,BUY_SEED,CARROT,1
HealthStone,91035389,3,0,3,126.0,farmer,PLACE,SHEEP,
HealthStone,91035389,3,0,3,126.0,hand_0,PICKUP,SHEEP,1
HealthStone,91035389,3,0,3,126.0,hand_1,PICKUP,COW,1
HealthStone,91035389,3,0,3,126.0,hand_2,NORTH,,
HealthStone,91035389,4,0,4,70.0,farmer,NORTH,,
HealthStone,91035389,4,0,4,70.0,hand_0,WEST,,
HealthStone,91035389,4,0,4,70.0,hand_1,NORTH,,
HealthStone,91035389,4,0,4,70.0,hand_2,WEST,,
HealthStone,91035389,4,0,4,70.0,market,BUY_PRODUCT,WHEAT,2
HealthStone,91035389,5,0,5,70.0,farmer,BUILD_PASTURE,,
HealthStone,91035389,5,0,5,70.0,hand_0,BUILD_PASTURE,,
HealthStone,91035389,5,0,5,70.0,hand_1,NORTH,,
HealthStone,91035389,5,0,5,70.0,hand_2,NORTH,,
HealthStone,91035389,6,0,6,70.0,farmer,SOUTH,,
HealthStone,91035389,6,0,6,70.0,hand_0,EAST,,
HealthStone,91035389,6,0,6,70.0,hand_1,SOUTH,,
HealthStone,91035389,6,0,6,70.0,hand_2,PLANT,MELON,
HealthStone,91035389,7,0,7,70.0,farmer,PICKUP,SHEEP,1
HealthStone,91035389,7,0,7,70.0,hand_0,NORTH,,
HealthStone,91035389,7,0,7,70.0,hand_1,PLACE,COW,
HealthStone,91035389,7,0,7,70.0,hand_2,WATER,,
HealthStone,91035389,8,0,8,14.0,farmer,WEST,,
HealthStone,91035389,8,0,8,14.0,hand_0,WEST,,
HealthStone,91035389,8,0,8,14.0,hand_1,NORTH,,
HealthStone,91035389,8,0,8,14.0,hand_2,NORTH,,
HealthStone,91035389,8,0,8,14.0,market,BUY_PRODUCT,WHEAT,2
HealthStone,91035389,9,0,9,14.0,farmer,PLACE,SHEEP,
HealthStone,91035389,9,0,9,14.0,hand_0,SOUTH,,
HealthStone,91035389,9,0,9,14.0,hand_1,PLANT,MELON,
HealthStone,91035389,9,0,9,14.0,hand_2,PLANT,MELON,
HealthStone,91035389,10,0,10,14.0,farmer,WEST,,
HealthStone,91035389,10,0,10,14.0,hand_0,EAST,,
HealthStone,91035389,10,0,10,14.0,hand_1,WATER,,
HealthStone,91035389,10,0,10,14.0,hand_2,WATER,,
HealthStone,91035389,11,0,11,14.0,farmer,BUILD_PASTURE,,
HealthStone,91035389,11,0,11,14.0,hand_0,PICKUP,WHEAT,4
HealthStone,91035389,11,0,11,14.0,hand_1,NORTH,,
HealthStone,91035389,11,0,11,14.0,hand_2,WEST,,
HealthStone,91035389,12,0,12,14.0,farmer,NORTH,,
HealthStone,91035389,12,0,12,14.0,hand_0,FEED,,
HealthStone,91035389,12,0,12,14.0,hand_1,PLANT,MELON,
HealthStone,91035389,12,0,12,14.0,hand_2,PLANT,WHEAT,
HealthStone,91035389,13,0,13,14.0,farmer,PLANT,MELON,
HealthStone,91035389,13,0,13,14.0,hand_0,WEST,,
HealthStone,91035389,13,0,13,14.0,hand_1,WATER,,
HealthStone,91035389,13,0,13,14.0,hand_2,WATER,,
HealthStone,91035389,14,0,14,14.0,farmer,WATER,,
HealthStone,91035389,14,0,14,14.0,hand_0,FEED,,
HealthStone,91035389,14,0,14,14.0,hand_1,SOUTH,,
HealthStone,91035389,14,0,14,14.0,hand_2,EAST,,
